	count	mean	std	close(<5bp)	far(>5bp)	TA	TG	TC	CT	CA	CG
2457_1	5	458.6	425.906445126	1.0	4				3		2
2457_3	7	512.428571429	367.734440932	1.0	6				3	1.0	3
2821B	35	404.514285714	275.55680224		35	2.0	2.0	7.0	10	2.0	12
4043A_1	155	416.574193548	287.535089861		155	2.0	6.0	5.0	99	19.0	24
4043A_4	177	408.271186441	286.199102095	5.0	172	4.0	4.0	6.0	113	23.0	27
4333	7	374.428571429	215.356183367		7			1.0	3	2.0	1
4856_1	27	477.407407407	270.547629712		27	2.0	2.0	1.0	11	2.0	9
4856_3	25	337.4	263.78005358		25	3.0	3.0	1.0	12	2.0	4
